nome;quantidade
Baso_1;245
Baso_3;217
Baso_4;209
Baso_5;116
Baso_6;90
Baso_7;120
Baso_8;117
Baso_9;121
Baso_14;117
Baso_23;113
Baso_26;112
Baso_29;117
Baso_32;93
Baso_33;77
Baso_51;142
Baso_52;219
Baso_40;143
Baso_42;95
Baso_46;141
Baso_48;191
mixt_1;125
mixt_2;122
mixt_3;104
mixt_4;123
mono_3;134
mono_6;160
mono_10;139
mono_18;146
mono_32;134
mono_48;151
mono_36;174
mono_31;114
mono_4;172
mono_22;138
neut_7;108
neut_12;115
neut_21;140
neut_40;99
neut_49;124
neut_50;123
neut_45;100
neut_29;99
neut_24;100
neut_8;160
eosi_4;167
eosi_5;176
eosi_20;141
eosi_17;174
eosi_32;228
eosi_39;223
eosi_21;146
eosi_18;108
eosi_13;135
eosi_10;120
lymp_9;244
lymp_12;118
lymp_14;179
lymp_25;231
lymp_28;174
lymp_29;146
lymp_51;162
lymp_49;112
lymp_50;155
lymp_47;244
